Question,Answer
Will enabling slow logs or error logs cost me anything?,"When slow logs or error logs are enabled, Amazon Elasticsearch Service starts publishing the generated logs to CloudWatch Logs. Amazon Elasticsearch Service does not charge anything for enabling the logs. However, standard 
CloudWatch charges
 will apply."
Is there any limit on the size of each log entry?,"Yes. Each log entry made into CloudWatch will be limited to 255,000 characters. If your log entry is bigger than that, it will be truncated to 255,000 characters."
What is the recommended best practice for using slow logs?,"Slow logs are only needed when you want to troubleshoot your indexes or fine-tune performance. The recommended approach is to only enable logging for those indexes for which you need additional performance insights. Also, once the investigation is done, you should turn off logging so that you don’t incur any additional costs on account of it. For more details, see our 
documentation
."
How can I consume logs from CloudWatch Logs?,"CloudWatch offers multiple ways to consume logs. You can 
view log data
, 
export it to S3
, or 
process it in real time
. To learn more, see the 
CloudWatch Logs developer guide
."
Are slow logs available for all versions of Elasticsearch supported by Amazon Elasticsearch Service?,"Yes. slow logs can be enabled for all versions of Elasticsearch supported by Amazon Elasticsearch Service. However, there are slight differences in the way log settings can be specified for each version of Elasticsearch. Please refer to our 
documentation
 for more details."
Will the cluster have any down time when logging is turned on or off?,"No. There will not be any down-time. Every time the log status is updated, we will deploy a new cluster in the background and replace the existing cluster with the new one. This process will not cause any down time. However, since a new cluster is deployed the update to the log status will not be instantaneous."
What kinds of error logs are exposed by Amazon Elasticsearch Service?,"Elasticsearch uses 
Apache Log4j 2
 and its built-in log levels (from least to most severe) of TRACE, DEBUG, INFO, WARN, ERROR, and FATAL. If you enable application logs, Amazon Elasticsearch Service publishes log lines of WARN, ERROR, and FATAL to CloudWatch. Less severe levels (INFO, DEBUG and TRACE) are not available."
How can I enable error logs on Amazon Elasticsearch Service?,"Error logs can be enabled from the AWS console or programmatically from our CLI and APIs. For more details, please refer to our 
documentation
."
Can I enable error logs for only specific indices?,"No, error logs are exposed for the entire domain. That is, once enabled, log entries from all indices in the domain will be made available."
Are error logs available for all versions of Elasticsearch supported by Amazon Elasticsearch Service?,"No, error logs are available only for Elasticsearch versions 5.x and above.
Return to Top >>"
How can I secure my Amazon Elasticsearch Service domain?,"If you use VPC to secure your applications, data, and network traffic, you can set up VPC access for Amazon Elasticsearch Service, which allows you to control network access using your VPC security groups. You can also use IAM-based policies to provide fine-grained access control to which IAM roles can perform administrative tasks, use the Elasticsearch APIS and have access to the resources in the domain down to the index-level.
If you want to make your Amazon Elasticsearch Service domain accessible from the Internet, you can specify public access. With public access, you can control access to the endpoint by IP address and require authentication using IAM roles. IAM policies can control access to Amazon Elasticsearch Service domains and sub resources like indices within the domains.
With Amazon Cognito, you can also allow your end-users to log-in to Kibana through enterprise identity providers such as Microsoft Active Directory using SAML 2.0, and through social identity providers such as Google, Facebook, and Amazon.  You can also set up a secure, scalable, and simplified sign-up experience using Amazon Cognito User Pools. Once you sign-in, Amazon Cognito establishes a session using the appropriate AWS Identity and Access Management (IAM) role, which provides access to the Amazon Elasticsearch Service domain.
IAM policies can also be set up to control access to the management API for operations such as creating and scaling clusters and Elasticsearch API for operations like uploading documents and executing Elasticsearch requests."
Can I encrypt my data at rest while using Amazon Elasticsearch Service?,"Amazon Elasticsearch Service provides an option that allows you to encrypt your data using keys you manage through 
AWS Key Management Service (KMS)
. If enabled, all of your data stored at rest in the underlying storage systems are encrypted, including primary and replica indices, log files, memory swap files, and automated S3 snapshots. Amazon Elasticsearch Service handles encryption and decryption seamlessly, so you don’t have to modify your application to access your data. You can choose to enable encryption when you create new domains via the AWS Management Console or API. Amazon Elasticsearch Service can create a KMS master key for you, or you can choose one of your own. Encryption at rest supports both Amazon Elastic Block Store (EBS) and instance storage.
For more information about the use of AWS KMS with Amazon Elasticsearch Service, see the 
Amazon Elasticsearch Service Developer Guide
. To learn more about AWS KMS, visit the 
web page
."
How can I set up the VPC access for Amazon Elasticsearch Service?,"You configure VPC access when creating an Amazon Elasticsearch Service domain. The VPC access can be set up via a few clicks in the console or via our CLI and APIs. For more details, see the 
Amazon Elasticsearch Service developer guide
."
"If I set up VPC access for my Amazon Elasticsearch Service domain, how can I access Kibana?","When VPC access is enabled, the endpoint for Amazon Elasticsearch Service is only accessible within the customer VPC. To use your laptop to access Kibana from outside the VPC, you need to connect the laptop to the VPC using VPN or VPC Direct Connect.
Return to Top >>
On-Demand Instance Pricing"
How will I be charged and billed for my use of Amazon Elasticsearch Service?,"You pay only for what you use, and there are no minimum or setup fees. You are billed based on:
Amazon Elasticsearch Service instance hours – Based on the class (e.g. Standard Small, Large, Extra Large) of the Amazon Elasticsearch Service instance consumed. Partial Amazon Elasticsearch Service instance hours consumed are billed as full hours.
Storage (per GB per month) – Amazon EBS Storage capacity you have provisioned to your Amazon Elasticsearch Service instance. If you scale your provisioned storage capacity within the month, your bill will be pro-rated.
Provisioned IOPS per month – Amazon EBS Provisioned IOPS rate, regardless of IOPS consumed (for Amazon Elasticsearch Service Provisioned IOPS (SSD) Storage only).
Data transfer – Regular AWS data transfer charges apply.
Please refer to the Amazon Elasticsearch Service 
pricing page
 for detailed pricing information."
When does billing of my Amazon Elasticsearch Service domain begin and end?,"Billing commences for an Amazon Elasticsearch Service instance as soon as the instance is available. Billing continues until the Amazon Elasticsearch Service instance terminates, which would occur upon deletion or in the event of instance failure."
What defines billable instance hours for Amazon Elasticsearch Service?,"Amazon Elasticsearch Service instance hours are billed for each hour your instance is running in an available state. If you no longer wish to be charged for your Amazon Elasticsearch Service instance, you must delete the domain to avoid being billed for additional instance hours. Partial Amazon Elasticsearch Service instance hours consumed are billed as full hours.
Reserved Instance Pricing"
What is a Reserved Instance (RI)?,"Amazon Elasticsearch Service Reserved Instances give you the option to reserve an instance for a one- or three-year term, and in turn receive significant savings compared to the On-Demand Instance pricing."
How are Reserved Instances different from On-Demand Instances?,"Functionally, Reserved Instances and On-Demand Instances are exactly the same. The only difference is how your instance(s) are billed. With Reserved Instances, you purchase a one- or three-year reservation and receive a lower effective hourly usage rate (compared to On-Demand Instances) for the duration of the term. Unless you purchase Reserved Instances in a Region, all instances in that Region are billed at On-Demand Instance hourly rates."
What are the payment options for Reserved Instances?,"Three options are available:
No Upfront Reserved Instances (NURI) – NURIs offer significant savings compared to On-Demand Instance prices. You pay nothing upfront, but commit to paying for the Reserved Instance over the course of the one- or three-year term.
Partial Upfront Reserved Instances (PURI) – PURIs offer higher savings than NURIs. You pay for a portion of the total cost upfront, and the remainder over the course of the term. This option balances payments between upfront and hourly.
All Upfront Reserved Instances (AURI) – AURIs offer the highest savings of all of the Reserved Instance payment options. You pay for the entire reservation with one upfront payment, and pay nothing on an hourly basis."
How do I purchase Reserved Instances?,"You purchase Reserved Instances in the ""Reserved Instance"" section of the AWS Management Console for Amazon Elasticsearch Service. Alternatively, you can use the Amazon Elasticsearch Service API or AWS Command Line Interface to list and purchase Reserved Instances.
Once you purchase a Reserved Instance, you can use it just like an On-Demand Instance. As long as the purchased reservation is active, Amazon Elasticsearch Service applies the reduced hourly rate to it."
Are Reserved Instances specific to an Availability Zone?,"Amazon Elasticsearch Service Reserved Instances are purchased for a Region rather than for a specific Availability Zone. After you purchase a Reserved Instance for a Region, the discount applies to matching usage in any Availability Zone within that Region."
How many Reserved Instances can I purchase?,"You can procure up to 100 Reserved Instances in a single purchase. If you need more Reserved Instances, you need to place more purchase requests."
Do Reserved Instances include a capacity reservation?,"Amazon Elasticsearch Service Reserved Instances are purchased for a Region rather than for a specific Availability Zone. Hence, they are not capacity reservations. Even if capacity is limited in one Availability Zone, Reserved Instances can still be purchased in the Region. The discount applies to matching usage in any Availability Zone within that Region."
What if I have an existing On-Demand Instance that I’d like to convert to a Reserved Instance?,"Simply purchase a Reserved Instance of the same type as the existing On-Demand Instance. If the Reserved Instance purchase succeeds, Amazon Elasticsearch Service automatically applies the new hourly usage charge for the duration of your reservation."
"If I sign up for a Reserved Instance, when does the term begin? What happens to my Reserved Instance when the term ends?","Pricing changes and the reservation term associated with your Reserved Instance become active after your request is received and the payment authorization is processed. If the one-time payment (if applicable) or new hourly rate (if applicable) cannot be successfully authorized by the next billing period, the discounted price does not take effect and your term does not begin. You can follow the status of your reservation using the console, API, or CLI. For more details, refer our 
documentation
.
When your Reserved Instance term expires, your Reserved Instance reverts to the appropriate On-Demand Instance hourly usage rate for your instance class and Region."
How do I control which instances are billed at the Reserved Instance rate?,"When computing your bill, our system automatically applies your reservation(s) such that all eligible instances are charged at the lower hourly Reserved Instance rate. Amazon Elasticsearch Service does not distinguish between On-Demand and Reserved Instances while operating Elasticsearch Service domains."
"If I scale my Reserved Instance up or down, what happens to my reservation?","Each Reserved Instance is associated with the instance type and Region that you picked for it. If you change the instance type in the Region where you have the Reserved Instance, you will not receive discounted pricing. You must ensure that your reservation matches the instance type you plan to use. For more details, please refer to 
Amazon Elasticsearch Service Reserved Instance Documentation
."
Can I move a Reserved Instance from one Region or Availability Zone to another?,"Each Reserved Instance is associated with a specific Region, which is fixed for the lifetime of the reservation and cannot be changed. Each Reserved Instance can, however, be used in any of the Availability Zones within the associated Region."
"Are Reserved Instances applicable if I turn on zone awareness, which involves multi-Availability Zone deployments?",A Reserved Instance is for a Region and can be used in any of the Availability Zones in that Region.
Are Reserved Instances available for both Master nodes and Data nodes?,Yes. Amazon Elasticsearch Service does not differentiate between Master and Data nodes when applying Reserved Instance discounts.
Can I cancel a Reserved Instance?,"No, you cannot cancel your Reserved Instances, and the one-time payment (if applicable) and discounted hourly usage rate (if applicable) are not refundable. Also, you cannot transfer the Reserved Instance to another account. You must pay for every hour during your Reserved Instance’s term, regardless of your usage."
"If I purchase a Reserved Instance from a payer (master) account, is it accessible to all the member accounts?","Yes. Reserved Instance pricing and application follows the policies defined for consolidated billing on AWS. More details can be found 
here
."
"If AWS reduces prices of On-Demand Instances for Amazon Elasticsearch Service, will the amount I pay for my current Reserved Instances change?",No. The price you pay for already-purchased Reserved Instances does not change for the term of the reservation.
Can I sell my Reserved Instances on the Reserved Instance Marketplace?,No. Reserved Instances purchased on Amazon Elasticsearch Service cannot be sold on the Reserved Instance Marketplace.
,"What is a Domain Name System (DNS) Service?
DNS
 is a globally distributed service that translates human readable names like 
www.example.com 
into the numeric IP addresses like 
192.0.2.1
 that computers use to connect to each other. The Internet’s DNS system works much like a phone book by managing the mapping between names and numbers. For DNS, the names are domain names 
(www.example.com)
 that are easy for people to remember and the numbers are IP addresses 
(192.0.2.1)
 that specify the location of computers on the Internet. DNS servers translate requests for names into IP addresses, controlling which server an end user will reach when they type a domain name into their web browser. These requests are called ""queries."""
What is Amazon Route 53?,"Amazon Route 53 provides highly available and scalable Domain Name System (DNS), domain name registration, and health-checking web services. It is designed to give developers and businesses an extremely reliable and cost effective way to route end users to Internet applications by translating names like 
example.com
 into the numeric IP addresses, such as 
192.0.2.1
, that computers use to connect to each other. You can combine your DNS with health-checking services to route traffic to healthy endpoints or to independently monitor and/or alarm on endpoints. You can also purchase and manage domain names such as 
example.com 
and automatically configure DNS settings for your domains. Route 53 effectively connects user requests to infrastructure running in AWS – such as Amazon EC2 instances, Elastic Load Balancing load balancers, or Amazon S3 buckets – and can also be used to route users to infrastructure outside of AWS."
What can I do with Amazon Route 53?,"With Amazon Route 53, you can create and manage your public DNS records. Like a phone book, Route 53 lets you manage the IP addresses listed for your domain names in the Internet’s DNS phone book. Route 53 also answers requests to translate specific domain names like into their corresponding IP addresses like 
192.0.2.1
. You can use Route 53 to create DNS records for a new domain or transfer DNS records for an existing domain. The simple, standards-based REST API for Route 53 allows you to easily create, update and manage DNS records. Route 53 additionally offers health checks to monitor the health and performance of your application as well as your web servers and other resources. You can also register new domain names or transfer 
           

             in 
           
 existing domain names to be managed by Route 53."
How do I get started with Amazon Route 53? ,"Amazon Route 53 has a simple web service interface that lets you get started in minutes. Your DNS records are organized into “hosted zones” that you configure with the AWS Management Console or Route 53’s API. To use Route 53, you simply:
Subscribe to the service by clicking on the sign-up button on the 
service page
.
If you already have a domain name: 
            
Use the AWS Management Console or the 
CreateHostedZone
 API to create a hosted zone that can store DNS records for your domain. Upon creating the hosted zone, you receive four Route 53 name servers across four different Top-Level Domains (TLDs) to help ensure a high level of availability.
Additionally, you can transfer your domain name to Route 53’s management via either the AWS Management Console or the API.
If you don't already have a domain name: 
            
Use the AWS Management Console or the API to register your new domain name.
Route 53 automatically creates a hosted zone that stores DNS records for your domain. You also receive four Route 53 name servers across four different Top-Level Domains (TLDs) to help ensure a high level of availability.
Your hosted zone will be initially populated with a basic set of DNS records, including four virtual name servers that will answer queries for your domain. You can add, delete or change records in this set by using the AWS Management Console or by calling the 
ChangeResourceRecordSet

              API . 
            
 A list of supported DNS records is available 
here
.
If your domain name is not managed by Route 53, you will need to inform the registrar with whom you registered your domain name to update the name servers for your domain to the ones associated with your hosted zone. If your domain name is managed by Route 53 already, your domain name will be automatically associated with the name servers hosting your zone."
How does Amazon Route 53 provide high availability and low latency?,"Route 53 is built using AWS’s highly available and reliable infrastructure. The globally distributed nature of our DNS servers helps ensure a consistent ability to route your end users to your application by circumventing any internet or network related issues. Route 53 is designed to provide the level of dependability required by important applications. Using a global anycast network of DNS servers around the world, Route 53 is designed to automatically answer queries from the optimal location depending on network conditions. As a result, the service offers low query latency for your end users."
What are the DNS server names for the Amazon Route 53 service?,"To provide you with a highly available service, each Amazon Route 53 hosted zone is served by its own set of virtual DNS servers. The DNS server names for each hosted zone are thus assigned by the system when that hosted zone is created."
What is the difference between a Domain and a Hosted Zone?,"A domain is a general DNS concept. Domain names are easily recognizable names for numerically addressed Internet resources. For example, 
amazon.com 
is a domain. A hosted zone is an Amazon Route 53 concept. A hosted zone is analogous to a traditional DNS zone file; it represents a collection of records that can be managed together, belonging to a single parent domain name. All resource record sets within a hosted zone must have the hosted zone’s domain name as a suffix. For example, the 
amazon.com 
hosted zone may contain records named 
www.amazon.com
, and 
www.aws.amazon.com
, but not a record named 
www.amazon.ca
. You can use the Route 53 Management Console or API to create, inspect, modify, and delete hosted zones. You can also use the Management Console or API to register new domain names and transfer existing domain names into Route 53’s management."
What is the price of Amazon Route 53?,
"Amazon Route 53 charges are based on actual usage of the service for Hosted Zones, Queries, Health Checks, and Domain Names. For full details, see the ","Amazon Route 53 pricing page
.
You pay only for what you use. There are no minimum fees, no minimum usage commitments, and no overage charges. You can estimate your monthly bill using the 
AWS Simple Monthly Calculator
."
What types of access controls can I set for the management of my Domains on Amazon Route 53?,"You can control management access to your Amazon Route 53 hosted zone by using the AWS Identity and Access Management (IAM) service. AWS IAM allows you to control who in your organization can make changes to your DNS records by creating multiple users and managing the permissions for each of these users within your AWS Account. Learn more about AWS IAM 
here
."
"I have subscribed for Amazon Route 53 but when I try to use the service it says ""The AWS Access Key ID needs a subscription for the service""","When you sign up for a new AWS service, it can take up to 24 hours in some cases to complete activation, during which time you cannot sign up for the service again. If you've been waiting longer than 24 hours without receiving an email confirming activation, this could indicate a problem with your account or the authorization of your payment details. Please 
contact AWS Customer Service
 for help."
Does Amazon Route 53 offer a Service Level Agreement (SLA)?,"Yes. The Amazon Route 53 SLA provides for a service credit if a customer’s monthly uptime percentage is below our service commitment in any billing cycle. More information can be found 
here
."
When is my hosted zone charged?,Hosted zones are billed once when they are created and then on the first day of each month.
Why do I see two charges for the same hosted zone in the same month?,"Hosted zones have a grace period of 12 hours--if you delete a hosted zone within 12 hours after you create it, we don't charge you for the hosted zone. After the grace period ends, we immediately charge the standard monthly fee for a hosted zone. If you create a hosted zone on the last day of the month (for example, January 31st), the charge for January might appear on the February invoice, along with the charge for February."
Q. Does Amazon Route 53 provide query logging capability?,"You can configure Amazon Route 53 to log information about the queries that Amazon Route 53 receives including date-time stamp, domain name, query type, location etc. When you configure query logging, Amazon Route 53 starts to send logs to CloudWatch Logs. You use CloudWatch Logs tools to access the query logs; For more information please see our 
documentation
."
Does Amazon Route 53 use an anycast network?,"Yes. Anycast is a networking and routing technology that helps your end users’ DNS queries get answered from the optimal Route 53 location given network conditions. As a result, your users get high availability and improved performance with Route 53."
Is there a limit to the number of hosted zones I can manage using Amazon Route 53?,"Each Amazon Route 53 account is limited to a maximum of 500 hosted zones and 10,000 resource record sets per hosted zone. Complete our 
request for a higher limit
 and we will respond to your request within two business days."
How can I import a zone into Route 53?,"Route 53 supports importing standard DNS zone files which can be exported from many DNS providers as well as standard DNS server software such as BIND. For newly-created hosted zones, as well as existing hosted zones that are empty except for the default NS and SOA records, you can paste your zone file directly into the Route 53 console, and Route 53 automatically creates the records in your hosted zone. To get started with zone file import, read our walkthrough in the 
Amazon Route 53 Developer Guide
."
Can I create multiple hosted zones for the same domain name? ,"Yes. Creating multiple hosted zones allows you to verify your DNS setting in a “test” environment, and then replicate those settings on a “production” hosted zone. For example, hosted zone Z1234 might be your test version of 
example.com
, hosted on name servers ns-1, ns-2, ns-3, and ns-4. Similarly, hosted zone Z5678 might be your production version of 
example.com
, hosted on ns-5, ns-6, ns-7, and ns-8. Since each hosted zone has a virtual set of name servers associated with that zone, Route 53 will answer DNS queries for example.com differently depending on which name server you send the DNS query to."
Does Amazon Route 53 also provide website hosting? ,"No. Amazon Route 53 is an authoritative DNS service and does not provide 
website hosting
. However, you can use Amazon Simple Storage Service (Amazon S3) to host a static website. To host a dynamic website or other web applications, you can use Amazon Elastic Compute Cloud (Amazon EC2), which provides flexibility, control, and significant cost savings over traditional 
web hosting
 solutions. Learn more about Amazon EC2 
here
. For both static and dynamic websites, you can provide low latency delivery to your global end users with Amazon CloudFront. Learn more about Amazon CloudFront 
here
."
Which DNS record types does Amazon Route 53 support? ,"Amazon Route 53 currently supports the following DNS record types:
A (address record)
AAAA (IPv6 address record)
CNAME (canonical name record)
CAA (certification authority authorization)
MX (mail exchange record)
NAPTR (name authority pointer record)
NS (name server record)
PTR (pointer record)
SOA (start of authority record)
SPF (sender policy framework)
SRV (service locator)
TXT (text record)
Additionally, Amazon Route 53 offers ‘Alias’ records (an Amazon Route 53-specific virtual record). Alias records are used to map resource record sets in your hosted zone to Amazon Elastic Load Balancing load balancers, Amazon CloudFront distributions, AWS Elastic Beanstalk environments, or Amazon S3 buckets that are configured as websites. Alias records work like a CNAME record in that you can map one DNS name (example.com) to another ‘target’ DNS name (elb1234.elb.amazonaws.com). They differ from a CNAME record in that they are not visible to resolvers. Resolvers only see the A record and the resulting IP address of the target record.
We anticipate adding additional record types in the future."
"Does Amazon Route 53 support wildcard entries? If so, what record types support them?","Yes. To make it even easier for you to configure DNS settings for your domain, Amazon Route 53 supports wildcard entries for all record types, except NS records. A wildcard entry is a record in a DNS zone that will match requests for any domain name based on the configuration you set. For example, a wildcard DNS record such as 
*.example.com
 will match queries for 
www.example.com
 and 
subdomain.example.com
."
What is the default TTL for the various record types and can I change these values?,The time for which a DNS resolver caches a response is set by a value called the time to live (TTL) associated with every record. Amazon Route 53 does not have a default TTL for any record type. You must always specify a TTL for each record so that caching DNS resolvers can cache your DNS records to the length of time specified through the TTL.
Can I use 'Alias records with my sub-domains?,"Yes. You can also use Alias records to map your sub-domains (
www.example.com
, 
pictures.example.com
, etc.) to your ELB load balancers, CloudFront distributions, or S3 website buckets."
Are changes to resource record sets transactional?,"Yes. A transactional change helps ensure that the change is consistent, reliable, and independent of other changes. Amazon Route 53 has been designed so that changes complete entirely on any individual DNS server, or not at all. This helps ensure your DNS queries are always answered consistently, which is important when making changes such as flipping between destination servers. When using the API, each call to 
ChangeResourceRecordSets
 returns an identifier that can be used to track the status of the change. Once the status is reported as 
INSYNC
, your change has been performed on all of the Route 53 DNS servers."
Can I associate multiple IP addresses with a single record?,Yes. Associating multiple IP addresses with a single record is often used for balancing the load of geographically-distributed web servers. Amazon Route 53 allows you to list multiple IP addresses for an A record and responds to DNS requests with the list of all configured IP addresses.
How quickly will changes I make to my DNS settings on Amazon Route 53 propagate globally? ,"Amazon Route 53 is designed to propagate updates you make to your DNS records to its world-wide network of authoritative DNS servers within 60 seconds under normal conditions. A change is successfully propagated world-wide when the API call returns an 
INSYNC 
status listing.
Note that caching DNS resolvers are outside the control of the Amazon Route 53 service and will cache your resource record sets according to their time to live (TTL). The 
INSYNC 
or 
PENDING 
status of a change refers only to the state of Route 53’s authoritative DNS servers."
Can I see a history of my changes and other operations on my Route 53 resources?,"Yes, via AWS CloudTrail you can record and log the API call history for Route 53. Please reference the 
CloudTrail product page
 to get started."
Can I use AWS CloudTrail logs to roll back changes to my hosted zones? ,"No. We recommend that you do not use CloudTrail logs to roll back changes to your hosted zones, because reconstruction of your zone change history using your CloudTrail logs may be incomplete.
Your AWS CloudTrail logs can be used for the purposes of security analysis, resource change tracking, and compliance auditing."
Does Amazon Route 53 support DNSSEC?,Amazon Route 53 does not support DNSSEC for DNS at this time. But Amazon Route 53 allows DNSSEC on domain registration.
Does Amazon Route 53 support IPv6?,Yes. Amazon Route 53 supports both forward (AAAA) and reverse (PTR) IPv6 records. The Amazon Route 53 service itself is also available over IPv6. Recursive DNS resolvers on IPv6 networks can use either IPv4 or IPv6 transport in order to submit DNS queries to Amazon Route 53. Amazon Route 53 health checks also support monitoring of endpoints using the IPv6 protocol.
Can I point my zone apex (example.com versus www.example.com) at my Elastic Load Balancer?,"Yes. Amazon Route 53 offers a special type of record called an ‘Alias’ record that lets you map your zone apex (
example.com
) DNS name to your ELB DNS name (i.e. 
elb1234.elb.amazonaws.com"
"). IP addresses associated with Amazon Elastic Load Balancers can change at any time due to scaling up, scaling down, or software updates. Route 53 responds to each request for an Alias record with one or more IP addresses for the load balancer. Queries to Alias records that are mapped to ELB load balancers are free. These queries are listed as “Intra-AWS-DNS-Queries” on the Amazon Route 53 usage report.",
Can I point my zone apex (example.com versus www.example.com) at my website hosted on Amazon S3? ,"Yes. Amazon Route 53 offers a special type of record called an ‘Alias’ record that lets you map your zone apex (
example.com
) DNS name to your Amazon S3 website bucket (i.e. 
example.com.s3-website-us-west-2.amazonaws.com"
"). IP addresses associated with Amazon S3 website endpoints can change at any time due to scaling up, scaling down, or software updates. Route 53 responds to each request for an Alias record with one IP address for the bucket. Route 53 doesn't charge for queries to Alias records that are mapped to an S3 bucket that is configured as a website. These queries are listed as “Intra-AWS-DNS-Queries” on the Amazon Route 53 usage report.",
Can I point my zone apex (example.com versus www.example.com) at my Amazon CloudFront distribution? ,"Yes. Amazon Route 53 offers a special type of record called an ‘Alias’ record that lets you map your zone apex (
example.com
) DNS name to your Amazon CloudFront distribution (for example, 
d123.cloudfront.net"
"). IP addresses associated with Amazon CloudFront endpoints vary based on your end user’s location (in order to direct the end user to the nearest CloudFront edge location) and can change at any time due to scaling up, scaling down, or software updates. Route 53 responds to each request for an Alias record with the IP address(es) for the distribution. Route 53 doesn't charge for queries to Alias records that are mapped to a CloudFront distribution. These queries are listed as “Intra-AWS-DNS-Queries” on the Amazon Route 53 usage report.",
Can I point my zone apex (example.com versus www.example.com) at my AWS Elastic Beanstalk environment? ,"Yes. Amazon Route 53 offers a special type of record called an ‘Alias’ record that lets you map your zone apex (
example.com
) DNS name to your AWS Elastic Beanstalk DNS name (i.e. 
example.elasticbeanstalk.com"
"). IP addresses associated with AWS Elastic Beanstalk environments can change at any time due to scaling up, scaling down, or software updates. Route 53 responds to each request for an Alias record with one or more IP addresses for the environment. Queries to Alias records that are mapped to AWS Elastic Beanstalk environments are free. These queries are listed as “Intra-AWS-DNS-Queries” on the Amazon Route 53 usage report.",
How can I use Amazon Route 53 with Amazon Simple Storage Service (Amazon S3) and Amazon CloudFront? ,"For websites delivered via Amazon CloudFront or static websites hosted on Amazon S3, you can use the Amazon Route 53 service to create an Alias record for your domain which points to the CloudFront distribution or S3 website bucket. For S3 buckets not configured to host static websites, you can create a CNAME record for your domain and the S3 bucket name. In all cases, note that you will also need to configure your S3 bucket or your CloudFront distribution respectively with the alternate domain name entry to completely establish the alias between your domain name and the AWS domain name for your bucket or distribution.
For CloudFront distributions and S3 buckets configured to host static websites, we recommend creating an ‘Alias’ record that maps to your CloudFront distribution or S3 website bucket, instead of using CNAMEs. Alias records have two advantages: first, unlike CNAMEs, you can create an Alias record for your zone apex (e.g. example.com, instead of www.example.com), and second, queries to Alias records are free of charge."
Q. Why does the DNS Query Test Tool return a response different than the dig or nslookup commands?,"When resource record sets are changed in Amazon Route 53, the service propagates updates you make to your DNS records to its world-wide network of authoritative DNS servers. If you test the record before propagation is complete, you may see an old value when you use the dig or nslookup utilities. Additionally, DNS resolvers on the internet are outside the control of the Amazon Route 53 service and will cache your resource record sets according to their time to live (TTL), which means a dig/nslookup command might return a cached value. You should also make sure that your domain name registrar is using the name servers in your Amazon Route 53 hosted zone. If not, Amazon Route 53 will not be authoritative for queries to your domain."
Does Amazon Route 53 support Weighted Round Robin (WRR)?,"Yes. Weighted Round Robin allows you to assign weights to resource record sets in order to specify the frequency with which different responses are served. You may want to use this capability to do A/B testing, sending a small portion of traffic to a server on which you’ve made a software change. For instance, suppose you have two 
           

             record sets 
           
 associated with one DNS name—one with weight 3 and one with weight 1. In this case, 75% of the time Route 53 will return the record set with weight 3 and 25% of the time Route 53 will return the record set with weight 1. Weights can be any number between 0 and 255."
What is Amazon Route 53's Latency Based Routing (LBR) feature?,"LBR (Latency Based Routing) is a new feature for Amazon Route 53 that helps you improve your application’s performance for a global audience. You can run applications in multiple AWS regions and Amazon Route 53, using dozens of edge locations worldwide, will route end users to the AWS region that provides the lowest latency."
How do I get started using Amazon Route 53's Latency Based Routing (LBR) feature?,"You can start using Amazon Route 53’s new LBR feature quickly and easily by using either the AWS Management Console or a simple API. You simply create a record set that includes the IP addresses or ELB names of various AWS endpoints and mark that record set as an LBR-enabled Record Set, much like you mark a record set as a Weighted Record Set. Amazon Route 53 takes care of the rest - determining the best endpoint for each request and routing end users accordingly, much like Amazon CloudFront, Amazon’s global content delivery service, does. You can learn more about how to use Latency Based Routing in the 
Amazon Route 53 Developer Guide
."
What is the price for Amazon Route 53's Latency Based Routing (LBR) feature?,"Like all AWS services, there are no upfront fees or 
           

             long term 
           
 commitments to use Amazon Route 53 and LBR. Customers simply pay for the hosted zones and queries they actually use. Please visit the 
Amazon Route 53 pricing page
 for details on pricing for Latency Based Routing queries."
What is Amazon Route 53's Geo DNS feature?,"Route 53 Geo DNS lets you balance load by directing requests to specific endpoints based on the geographic location from which the request originates. Geo DNS makes it possible to customize localized content, such as presenting detail pages in the right language or restricting distribution of content to only the markets you have licensed. Geo DNS also lets you balance load across endpoints in a predictable, easy-to-manage way, ensuring that each end-user location is consistently routed to the same endpoint. Geo DNS provides three levels of geographic granularity: continent, country, and state, and Geo DNS also provides a global record which is served in cases where an end user’s location doesn’t match any of the specific Geo DNS records you have created. You can also combine Geo DNS with other routing types, such as Latency Based Routing and DNS Failover, to enable a variety of low-latency and fault-tolerant architectures. For information on how to configure various routing types, please see the 
Amazon Route 53 documentation
."
How do I get started using Amazon Route 53's Geo DNS feature?,"You can start using Amazon Route 53’s Geo DNS feature quickly and easily by using either the AWS Management Console or the Route 53 API. You simply create a 
           

             record set 
           
 and specify the applicable values for that type of record set, mark that record set as a Geo DNS-enabled Record Set, and select the geographic region (global, continent, country, or state) that you want the record to apply to. You can learn more about how to use Geo DNS in the 
Amazon Route 53 Developer Guide
."
"When using Geo DNS, do I need a ""global"" record? When would Route 53 return this record?","Yes, we strongly recommend that you configure a global record, to ensure that Route 53 can provide a response to DNS queries from all possible locations—even if you have created specific records for each continent, country, or state where you expect your end users will be located. Route 53 will return the value contained in your global record in the following cases:
The DNS query comes from an IP address not recognized by Route 53’s Geo IP database.
The DNS query comes from a location not included in any of the specific Geo DNS records you have created."
